id,"name","powerstats__intelligence","powerstats__strength","powerstats__speed","powerstats__durability","powerstats__power","powerstats__combat","biography__full-name","biography__alter-egos","biography__aliases__001","biography__place-of-birth","biography__first-appearance","biography__publisher","biography__alignment","appearance__gender","appearance__race","appearance__height__001","appearance__height__002","appearance__weight__001","appearance__weight__002","appearance__eye-color","appearance__hair-color","work__occupation","work__base","connections__group-affiliation","connections__relatives","biography__aliases__002",biography__aliases__003,biography__aliases__004,biography__aliases__005,biography__aliases__006,"biography__aliases__007","biography__aliases__008","biography__aliases__009","biography__aliases__010","biography__aliases__011","biography__aliases__012","biography__aliases__013","biography__aliases__014","biography__aliases__015","biography__aliases__016","biography__aliases__017","biography__aliases__018","biography__aliases__019","biography__aliases__020"
582,"Sebastian Shaw","63","85","12","95","36","56","Sebastian Hiram Shaw","No alter egos found.","-","-","-","Marvel Comics","bad","Male","Mutant","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
583,"Sentry","75","100","100","84","100","40","Robert Reynolds","No alter egos found.","Void","-","Sentry #1 (September, 2000)","Marvel Comics","neutral","Male","Mutant","6'2","188 cm","194 lb","87 kg","Blue","Blond","-","The Watchtower (on top of Stark Tower, where it was formerly located before all memory of him disappeared)","Formerly Horsemen of Death, Osborn's Avengers, Mighty Avengers, New Avengers, partner of Scout","Lindy Reynolds (wife, deceased), Mrs. Reynolds (mother)","Bob",Golden Guardian of Good,John Victor Williams,Scout,,,,,,,,,,,,,,,
584,"Shadow King","75","12","27","100","100","75","Amahl Farouk","No alter egos found.","Professor X","-","X-Men #117 (1979)","Marvel Comics","good","-","null","6'1","185 cm","330 lb","149 kg","Red","-","-","The Astral Plane; Formerly Cairo, Egypt.","Shadow Mob; former head of the Gladiators and the Cairo�s Thieves Quarter","-","Ananasi",Amahl Farouk,Evil One,Master of the Games; he also impersonated the following mind-controlled subjects (in chronological order): Alexander Flynn,Karma,"Cypher","Jacob Reisz","Donald Pierce and probably others",,,,,,,,,,,
585,"Shadow Lass","63","10","67","20","79","80","Tasmia Mallor","No alter egos found.","-","Talok VIII","Adventure Comics #365","DC Comics","good","Female","Talokite","5'8","173 cm","120 lb","54 kg","Black","Black","-","-","-","-",,,,,,,,,,,,,,,,,,,
586,"Shadowcat","88","8","21","25","69","70","Kitty Pryde","No alter egos found.","Kitty Pryde","Deerfield, Illinois","X-Men #129 (January, 1980)","Marvel Comics","good","Female","Mutant","5'6","168 cm","110 lb","50 kg","Hazel","Brown","Teacher, Adventurer, former student","Xavier Insitute for Higher Learning, Salem Center, New York, formerly Muir Island off the coast of Scotland, formerly Excalibur's Lighthouse, formerly Braddock Manor, England","X-Men (New Charles Xavier School member), X-Men (Past) (tutor); formerly X-Men, Murder Circus (brainwashed), Lights (liaison), Paladins Squad, S.H.I.E.L.D., Gladiators, Excalibur (founding member), New Mutants, Knights of Wundagore","Kate (maternal great-grandmother), Samuel Prydeman (paternal grandfather, deceased), Chava Rosanoff (paternal great-aunt, deceased), Mr. Rosanoff (paternal great-uncle, apparently deceased), Nina (aunt), Carmen Pryde (father, deceased), Theresa Pryde (mother), Kenny (cousin)","Ariel",Sprite,Cat,,,,,,,,,,,,,,,,
587,"Shang-Chi","63","12","30","50","29","100","Shang-Chi","No alter egos found.","The Master of Kung Fu; The Rising and Advancing of the Spirit; Chinaman (by Jack Tarr)","-","Special Marvel Edition #15 (December, 1973)","Marvel Comics","good","Male","Human","5'10","178 cm","175 lb","79 kg","Brown","Black","-","-","MI-5, MI-6, ""Marvel Knights"", Heroes For Hire, Freelance Restorations, Si-Fan, Secret Avengers","Fu Manchu, father; unnamed mother; Fah Lo Suee, (half-sister); Whispering Shadow (half-brother, deceased)",,,,,,,,,,,,,,,,,,,
588,"Shatterstar","63","48","45","64","49","84","Gaveedra Seven","No alter egos found.","Benjamin Russell","Mojoworld","New Mutants #99","Marvel Comics","good","Male","null","6'3","191 cm","195 lb","88 kg","Brown","Red","Warrior","-","X-Force, Blood Cadre Alliance (former member)","Longshot (father), Dazzler (mother), Mojo V",,,,,,,,,,,,,,,,,,,
589,"She-Hulk","81","100","42","100","40","70","Jennifer Walters","No alter egos found.","Jade Giantess","Los Angeles, California","She-Hulk (Vol. 1) #1","Marvel Comics","good","Female","Human","6'7","201 cm","700 lb","315 kg","Green","Green","Lawyer, Magistra of the Living Tribunal","Law offices of Goodman, Lieber, Kurtzberg, & Holliway; formerly Avengers Mansion; Baxter Building, Four Freedoms Plaza","Goodman, Lieber, Kurtzberg, & Holliway; formerly Avengers, Fantastic Four, Heroes for Hire","Bruce Banner (Hulk, cousin)",,,,,,,,,,,,,,,,,,,
590,"She-Thing","69","72","21","80","23","65","Sharon Ventura","Ms Marvel II","Thing","-","Thing #27","Ms Marvel II","good","Female","Human / Radiation","6'0","183 cm","340 lb","153 kg","Blue","No Hair","Prisoner, former adventurer, wrestler, stuntwoman, scuba diver, motorcycle performer","-","Frightful Four; formerly Fantastic Four, Unlimited Class Wrestling Federation, Thunderiders","Jack Ventura (father, deceased), Mrs. Ventura (mother, deceased)","Ms Marvel",,,,,,,,,,,,,,,,,,
591,"Shocker","63","10","23","70","79","56","Herman Schultz","No alter egos found.","-","-","Amazing Spider-Man #46","Marvel Comics","bad","Male","Human","5'9","175 cm","175 lb","79 kg","Brown","Brown","Professional thief, hired assassin","New York City, New York","Formerly Masters of Evil, Sinister Syndicate, Sinister Seven, Sinister Twelve","Mr. & Mrs. Schultz (parents)",,,,,,,,,,,,,,,,,,,
592,"Shriek","50","10","23","28","45","42","Frances Louise Barrison","No alter egos found.","Sandra Deel","-","-","Marvel Comics","good","Female","null","5'8","173 cm","115 lb","52 kg","Yellow / Blue","Black","Former partner of Carnage, Carrion (Malcolm McBride), Demogoblin and Doppelganger). Before she became Shriek, she was a rock band groupie and drug dealer.","-","Formerly Carnage Family","Carnage (adopted husband), Carrion (Malcolm McBride) and Demogoblin (adopted sons), Doppelganger (adopted pet)",,,,,,,,,,,,,,,,,,,
593,"Shrinking Violet","null","null","null","null","null","null",,"No alter egos found.","-","-","-","DC Comics","good","Female","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
594,"Sif","63","90","67","80","100","70","Sif","No alter egos found.","Lady Sif","-","Journey into Mystery #102 (March, 1964)","Marvel Comics","good","Female","Asgardian","6'2","188 cm","425 lb","191 kg","Blue","Black","-","Broxton/Asgard; Formerly New York City","The Gods of Asgard","Heimdall (brother)","Erika Velez",Mrs. Chambers,Sybil,,,,,,,,,,,,,,,,
595,"Silk","75","48","71","70","71","65","Cindy Moon","No alter egos found.","-","-","Amazing Spider-Man Vol 3 #4","Marvel Comics","good","Female","Human","-","0 cm","- lb","0 kg","Brown","Black","Vigilante, intern at Fact Channel News, adventurer; former student","Sims Tower, Times Square, Manhattan, New York City, New York; formerly Sims Tower, Times Square, Manhattan, New York City, New York, Earth-3145; Central Park, Manhattan, New York City, New York, Earth-13","Black Cat's Gang, Fact Channel News; formerly Spider-Army, partner of Spider-Man, Ezekiel Sims","Albert Moon. Sr. (father, estranged), unnamed mother (estranged), Albert Moon, Jr. (brother, estranged), Spider-Man (Peter Parker, bit by same spider)",,,,,,,,,,,,,,,,,,,
596,"Silk Spectre","null","null","null","null","null","null","Sally Juspeczyk","No alter egos found.","Sally Jupiter","-","-","DC Comics","good","Female","null","-","0 cm","- lb","0 kg","-","-","-","-","Watchmen, Minutemen","Silk Spectre II (daughter)",,,,,,,,,,,,,,,,,,,
597,"Silk Spectre II","null","51","null","null","null","null","Laurie Juspeczyk","No alter egos found.","-","-","-","DC Comics","good","Female","null","-","0 cm","- lb","0 kg","-","-","-","-","Watchmen","Silk Spectre I (mother)",,,,,,,,,,,,,,,,,,,
598,"Silver Surfer","56","100","100","90","100","32","Norrin Radd","No alter egos found.","-","Zenn-La","Fantastic Four, Vol. 1 #48","Marvel Comics","good","Male","Alien","6'4","193 cm","225 lb","101 kg","White","No Hair","Adventurer, formerly Galactus' Herald","mobile throughout the universe","Former member of Defenders, former member of the Star Masters","Jartran Radd (father, deceased), Elmar Radd (mother, deceased)",,,,,,,,,,,,,,,,,,,
599,"Silverclaw","50","28","35","42","34","42","Maria de Guadalupe Santiago","No alter egos found.","La Garra Argentado","The village of Kamekeri, Costa Verde","Avengers #8 (1998)","Marvel Comics","good","Female","null","5'2","157 cm","110 lb","50 kg","Brown","Black","University student, adventurer","Empire State University and Avengers Mansion, New York City, NY","The Secret Avengers, formerly reserve member of the Avengers","Jaime Santiago (father), Peliali (mother), Edwin Jarvis (""uncle"")","Daughter of the Volcano God,",,,,,,,,,,,,,,,,,,
600,"Simon Baz","56","90","42","55","100","60","Simoon Baz","No alter egos found.","Green Lantern","Dearborn, Michigan","The New 52: FCBD Special Edition #1 (June, 2012)","DC Comics","good","Male","Human","-","0 cm","- lb","0 kg","Bown","Black","-","-","-","Sira Baz (sister), Farid Amar (nephew), Nazir Amar (brother in-law)","White Lantern",,,,,,,,,,,,,,,,,,
601,"Sinestro","75","85","53","64","100","55","Thaal Sinestro","No alter egos found.","Green Lantern","Korugar City, Korugar","Green Lantern Vol 2 #7","DC Comics","neutral","Male","Korugaran","6'7","201 cm","205 lb","92 kg","Black","Black","-","Ranx, Warworld. formerly New Korugar, Qward, Oa","Sinestro Corps, formerly Green Lantern Corps, Secret Society, Injustice League","Witch Queen (sister, pre-Crisis), Soranik Natu (daughter), Arin Sur (wife, deceased), Abin Sur (brother-in-law, deceased), Amon Sur (nephew)","White Lantern",Yellow Lantern,Parallax,Indigo Lantern,,,,,,,,,,,,,,,
602,"Siren","56","62","79","60","92","60","Hila","No alter egos found.","-","-","Aquaman #22 (August, 1965)","DC Comics","bad","Female","Atlantean","5'9","175 cm","160 lb","72 kg","Blue","Purple","-","formely Atlantis","-","Mera (twin sister), Aquaman (brother-in-law)",,,,,,,,,,,,,,,,,,,
603,"Siren II","null","null","null","null","null","null","La Sirene la Bailene","No alter egos found.","-","Atlantis","The Titans #5 (1999)","DC Comics","bad","Female","null","-","0 cm","- lb","0 kg","Black","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
604,"Siryn","38","8","47","28","50","42","Theresa Rourke Cassidy","No alter egos found.","Theresa Rourke","Cassidy Keep, County Mayo, Ireland","Spider-Woman (first series) #37","Marvel Comics","bad","Female","null","5'6","168 cm","115 lb","52 kg","Blue","Strawberry Blond","(current) Adventurer (former) Professional Criminal","-","(Current) X-Factor (former) Ally of Black Tom and the Juggernaut, Fallen Angels, X-Force","Sean Cassidy (Banshee, father), Maeve Rourke (mother, deceased), Black Tom Cassidy (cousin)",,,,,,,,,,,,,,,,,,,
605,"Skaar","50","85","27","90","69","85",,"No alter egos found.","Savior","Sakaar","World War Hulk #5, 2007","Marvel Comics","good","Male","null","6'6","198 cm","400 lb","180 kg","Green","Black","Warrior","-","-","Morris Walters (granduncle), Elaine Banner-Walters (paternal grandaunt, deceased), Brian Banner (paternal grandfather, deceased), Rebecca Banner (paternal grandmother, deceased), She-Hulk (1st cousin once removed), Hulk (father), Caiera the Oldstrong (mother, deceased), Hiro-Kala (Twin brother), Lyra (half-sister)","Son of Hulk",WorldBreaker,Long Hair,Little Monster,Conan,,,,,,,,,,,,,,
606,"Snake-Eyes","null","null","null","null","null","null",,"No alter egos found.","Xanthian Boulder Crusher","-","Marvel Team-Up Annual Vol 1 #7 October, 1984","Marvel Comics","bad","Male","Animal","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
607,"Snowbird","50","32","27","42","70","52","Narya","No alter egos found.","Anne McKenzie-Thompson","Near Resolute Bay, Northwest Territories, Canada","Uncanny X-Men #120","Marvel Comics","good","Female","null","5'10'","178 cm","108 lb","49 kg","White","Blond","Goddess, adventurer, former records officer","formerly Department H","God Squad; formerly Alpha Flight, Eskimo Gods, Royal Canadian Mounted Police, The Flight","Hodiak (grandfather), Nelvanna (mother), Richard Lawrence Easton (father, deceased), Michael Twoyoungmen (Shaman, foster father), Douglas Thompson (husband, deceased), unnamed son (deceased)",,,,,,,,,,,,,,,,,,,
608,"Sobek","50","34","23","46","20","56","Yurrd the Unknown","No alter egos found.","Sobek the Talking Crocodile; The Unknown in Formless Time Before Time; Famine","Nile River; Bioengineered at Oolong Island","52 Week Twenty-Six","DC Comics","good","Male","null","-","0 cm","- lb","0 kg","White","No Hair","-","Kahndaq","Black Marvel Family, Four Horsemen","-",,,,,,,,,,,,,,,,,,,
609,"Solomon Grundy","9","93","13","100","92","30","Cyrus Gold","No alter egos found.","Marshland Monster","Gotham City","All-American Comics #61 (October, 1944)","DC Comics","bad","Male","Zombie","9'2","279 cm","971 lb","437 kg","Black","White","-","-","Formerly, Injustice Society, Injustice League, the Society, Infinity, Inc; Injustice Unlimited, Black Lantern Corps","Unnamed wife (deceased); Karin Rykel (possible descendant, deceased); Chrissie Cavendish (possible descendant)",,,,,,,,,,,,,,,,,,,
610,"Songbird","75","36","27","42","55","56","Melissa Joan Gold","No alter egos found.","Screaming Mimi","Shoshoni, Wyoming","-","Marvel Comics","good","Female","null","5'5","165 cm","145 lb","65 kg","Green","Red / White","Adventurer; former criminal and wrestler","-","Formerly Thunderbolts, Masters of Evil, Unlimited Class Wrestling Federation, Grapplers","Mimi Gold (mother), Mr. Gold (father)","Mimi Schwartz",Margie Green,,,,,,,,,,,,,,,,,
611,"Space Ghost","38","18","33","40","95","80","Thaddeus Bach","No alter egos found.","Ted Ghostel","-","Space Ghost (1966)","DC Comics","good","Male","Human","6'2","188 cm","250 lb","113 kg","-","-","-","-","Galactic Heroes","-","Tad Ghostal",,,,,,,,,,,,,,,,,,
612,"Spawn","75","60","50","90","100","95","Al Simmons","No alter egos found.","The One","Detroit, Michigan (8th level of Hell after rebirth)","Spawn #1 (May, 1992)","Image Comics","good","Male","Demon","6'11","211 cm","900 lb","405 kg","Brown","Black","-","Hell","Eighth Circle of Hell; formerly (as Al Simmons) CIA (U.S. Security Service), U.S. Secret Service, U.S. Marine Corps","Wanda (widow), Cyan (widow's daughter)","Hellspawn",,,,,,,,,,,,,,,,,,
613,"Spectre","88","100","100","100","100","70","Aztar","Aztar","Spirit of Vengeance","-","More Fun Comics #52 (February, 1940)","Aztar","good","Male","God / Eternal","-","0 cm","- lb","0 kg","White","No Hair","-","-","-","-","Wrath of God",Spirit of Redemption,Raguel,James Corrigan,Hal Jordan,"Cripus Allen",,,,,,,,,,,,,
614,"Speedball","null","null","null","null","null","null","Robert Baldwin","Penance II","Penance","Springdale, Connecticut","Amazing Spider-Man Annual #22, (chronologically) Speedball #1","Penance II","good","Male","null","-","0 cm","- lb","0 kg","-","-","Student, superhero","Mobile; formerly New Warriors Headquarters","New Warriors","Maddie Baldwin (mother), Justin Baldwin (father)","Masked Marvel",,,,,,,,,,,,,,,,,,
615,"Speedy","50","6","33","20","26","70","Thea Queen","No alter egos found.","Thea Merlyn","Starling City","Arrow (TV Series) - ""Pilot""","DC Comics","good","Female","Human","-","0 cm","- lb","0 kg","Green","Brown","Nightclub Owner","-","Team Arrow","Moira Queen (mother, deceased), Robert Queen (foster father, deceased), Walter Steele (step-father, formerly), Malcolm Merlyn (biological father), Oliver Queen (Green Arrow, half-brother), Tommy Merlyn (half-brother, deceased), William Clayton (nephew)","Mia",Red Arrow,,,,,,,,,,,,,,,,,
616,"Speedy","null","null","null","null","null","null","Roy William Harper, Jr.","Arsenal","-","-","-","Arsenal","good","Male","Human","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
617,"Spider-Carnage","null","69","null","null","null","null","Benjamin Reilly","Scarlet Spider","-","-","-","Scarlet Spider","bad","Male","Symbiote","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
618,"Spider-Girl","63","38","60","65","53","75","May 'Mayday' Parker","No alter egos found.","-","New York City, New York","What If? Vol 2 #105 (February, 1998)","Marvel Comics","good","Female","Human","5'7","170 cm","119 lb","54 kg","Blue","Brown","-","New York City, New York","-","-",,,,,,,,,,,,,,,,,,,
619,"Spider-Gwen","75","55","63","70","66","70","Gwen Stacy","No alter egos found.","Spider-Woman","-","Edge of Spider-Verse #2","Marvel Comics","good","Female","Human","5'5","165 cm","125 lb","56 kg","Blue","Blond","-","-","Warriors of the Great Web; formerly Mary Janes, Spider-Army","George Stacy (father), Helen Stacy (mother, deceased)",,,,,,,,,,,,,,,,,,,
620,"Spider-Man","90","55","67","75","74","85","Peter Parker","No alter egos found.","Spiderman","New York, New York","Amazing Fantasy #15","Marvel Comics","good","Male","Human","5'10","178 cm","165 lb","74 kg","Hazel","Brown","Freelance photographer, teacher","New York, New York","Member of the Avengers, formerly member of Outlaws, alternate Fantastic Four","Richard Parker (father, deceased), Mary Parker(mother, deceased), Benjamin Parker (uncle, deceased), May Parker (aunt), Mary Jane Watson-Parker (wife), May Parker (daughter, allegedly deceased)","Bag-Man",Black Marvel,Captain Universe,Dusk,Green Hood,"Hornet","Mad Dog 336","Peter Palmer","Prodigy","Ricochet","Scarlet Spider","Spider-Boy","Spider-Hulk","Spider-Morphosis",,,,,
621,"Spider-Man","null","57","null","null","null","null","Miguel O'Hara","No alter egos found.","Spider-Man 2099","-","Amazing Spider-Man #365 (August, 1992)","Marvel Comics","good","-","Human","5'10","178 cm","170 lb","77 kg","Red","Brown","CEO of Alchemax Corporation, Executive Assistant","-","-","-","Spiderman",,,,,,,,,,,,,,,,,,
622,"Spider-Man","null","58","null","null","null","null","Miles Morales","No alter egos found.","Spiderman","-","Ultimate Comics Fallout #4 (October, 2011)","Marvel Comics","good","Male","Human","5'2","157 cm","125 lb","56 kg","Brown","Black","Student, adventurer, vigilante","-","-","-",,,,,,,,,,,,,,,,,,,
623,"Spider-Woman","56","42","42","60","68","70","Jessica Drew","No alter egos found.","Arachne","London, England","Marvel Spotlight #32 (February, 1977)","Marvel Comics","good","Female","Human","5'10","178 cm","130 lb","59 kg","Green","Black","Form agent of HYDRA, former bounty hunter, private investigator, adventurer","-","Former agent of HYDRA","Jonathan (father, deceased), Merriem (mother, deceased)","Ariadne Hyde",Dark Angel,Dark Angel of San Francisco,,,,,,,,,,,,,,,,
624,"Spider-Woman II","null","null","null","null","null","null",,"No alter egos found.","-","-","-","Marvel Comics","good","Female","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
625,"Spider-Woman III","50","48","27","42","60","28","Martha Franklin","No alter egos found.","-","Rochester, New York","(cameo) Spectacular Spider-Man #263 (1998); (full) Amazing Spider-Man #441 (1998)","Marvel Comics","good","Female","null","5'8","173 cm","123 lb","55 kg","Brown","Brown","-","-","Formerly Gathering of the Five","Jeremy Franklin (father, deceased), Bernice Franklin (mother, deceased), J. Jonah Jameson (foster father), Marla Madison (foster mother)",,,,,,,,,,,,,,,,,,,
626,"Spider-Woman IV","null","null","null","null","null","null","Charlotte Witter","No alter egos found.","Spider-Woman","-","Amazing Spider-Man Volume 2 #5 (# 446)","Marvel Comics","bad","Female","null","5'10","178 cm","128 lb","58 kg","Red","White","Fashion designer, professional criminal","New York City","-","Cassandra Webb (aka Madame Web, grandmother)",,,,,,,,,,,,,,,,,,,
627,"Spock","81","18","17","40","56","40","S'chn T'gai Spock","No alter egos found.","-","-","Star Trek S01E01: The Man Trap","Star Trek","good","Male","Human-Vulcan","6'1","185 cm","180 lb","81 kg","Brown","Black","-","-","-","-",,,,,,,,,,,,,,,,,,,
628,"Spyke","50","12","17","60","48","30","Evan Daniels","No alter egos found.","Porcupine","-","""Speed & Spyke"" (December 9, 2000)","Marvel Comics","good","Male","Mutant","6'0","183 cm","185 lb","83 kg","Brown","Blond","-","-","Morlocks; Formerly: X-Men","Mr. Daniels (father), Vivian Munroe-Daniels (mother), Storm (maternal aunt)","Armadillo",,,,,,,,,,,,,,,,,,
629,"Stacy X","null","null","null","null","null","null",,"No alter egos found.","-","-","-","Marvel Comics","good","Female","null","-","0 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
630,"Star-Lord","69","20","33","50","25","70","Peter Jason Quill","No alter egos found.","Starlord","-","Marvel Preview #4 (January, 1976)","Marvel Comics","good","Male","Human-Spartoi","6'2","188 cm","175 lb","79 kg","Blue","Blond","Adventurer; Royal Prince of Spartax","C.I.T.T.; formerly Kree space; Hala, Daedalus 5","Guardians of the Galaxy (leader); formerly unnamed commando team, United Front, Imperial Guard, partner of Ship, NASA","Eson (grandfather, deceased), Gareth (great-uncle, deceased), Jason of Sparta (father), Meredith Quill (mother, deceased), Victoria (half-sister), Kip Holm (adopted brother), Sandy (adopted sister in-law), Alain (adopted niece), Rhys, Robyn (adopted nephews), Kitty Pryde (fiance), Unnamed former Symbiote",,,,,,,,,,,,,,,,,,,
631,"Stardust","88","85","100","110","100","85",,"No alter egos found.","Entity Lambda-Zero","-","-","Marvel Comics","good","Male","null","-","0 cm","- lb","0 kg","-","-","Herald of Galactus","-","Heralds of Galactus ; Formerly United Front","-",,,,,,,,,,,,,,,,,,,
632,"Starfire","50","80","33","85","59","70","Koriand'r","No alter egos found.","Princess Koriand'r","Tamaran","DC Comics Presents #26 (October, 1980)","DC Comics","good","Female","Tamaranean","6'4","193 cm","158 lb","71 kg","Green","Auburn","Model","Formerly Titans Island, New York City; Titans Tower, San Francisco","Formerly R.E.B.E.L.S., Justice League of America, Teen Titans, Outsiders","King Myand'r (father), Queen Luand'r (mother), Queen Komand'r (sister, Blackfire), Ryand'r (brother), Prince Karras (husband, deceased), Ph'yzzon (husband, deceased)","Kory Anders",Nova,,,,,,,,,,,,,,,,,
633,"Stargirl","63","80","25","90","87","55","Courtney Whitmore","No alter egos found.","Star-Spangled Kid","-","Stars and S.T.R.I.P.E. #0 (July, 1999)","DC Comics","good","Female","Human","5'5","165 cm","137 lb","62 kg","Blue","Blond","-","Manhattan, New York City; Formerly Beverly Hills, California; later Blue Valley, Nebraska; later Metropolis","Justice Society of America","Barbara Whitmore-Dugan (mother); Sam Kurtis (father, deceased); Pat Dugan (S.T.R.I.P.E., Stepfather); Mike Dugan (stepbrother); Patricia Dugan (sister)","Star",Stars,,,,,,,,,,,,,,,,,
634,"Static","69","8","42","50","90","40","Virgil Hawkins","No alter egos found.","Sparky","Paris Island, Dakota City","Static #1 (June, 1993)","DC Comics","good","Male","Mutant","5'7","170 cm","140 lb","63 kg","Brown","Black","Student","Titans Tower, formerly Abandoned Gas Station of Solitude, Dakota City","Shadow Cabinet, Heroes, Teen Titans","Robert Hawkins (father), Jean Hawkins (mother), Sharon Hawkins (sister), Homer Hawkins (grandfather), Teshom� Hawkins (uncle, deceased),","Virg",V,V-Man,,,,,,,,,,,,,,,,
635,"Steel","81","82","53","90","64","64","John Henry Irons","No alter egos found.","Man of Steel","Washington, D.C.","Adventures of Superman #500 (1993)","DC Comics","good","Male","null","6'7","201 cm","290 lb","131 kg","Brown","No Hair","Weapons designer, former steelworker","Steelworks, Metropolis; formerly Jersey City and Washington D.C.","Reserve member of the Justice League of America","Mrs. Irons (mother, deceased), Mr. Irons (father, deceased), Maternal Grandmother (deceased), maternal grandfather (deceased), Butter (grandfather), Bess (grandmother, deceased), Clay Irons (brother), Jemahl Irons (nephew), Blondell Irons (sister-in-law), Natasha Irons (Starlight, niece), Paco (nephew), Tyke (former foster nephew)","Henry Johnson",,,,,,,,,,,,,,,,,,
636,"Stephanie Powell","69","10","54","10","24","10","Stephanie Powell","No alter egos found.","-","-","No Ordinary Family S01E01 (2010)","ABC Studios","good","Female","null","-","0 cm","- lb","0 kg","-","Blond","Executive Vice President of Research at Global Tech","-","-","Jim Powell (husband), Daphne Powell (daughter), JJ Powell (son)",,,,,,,,,,,,,,,,,,,
637,"Steppenwolf","94","100","83","100","100","100",,"No alter egos found.","Steppenwulf","-","The New Gods #7","DC Comics","bad","Male","New God","6'0","183 cm","203 lb","91 kg","Red","Black","-","-","-","-",,,,,,,,,,,,,,,,,,,
638,"Storm","75","10","47","30","88","75","Ororo Munroe","No alter egos found.","Ororo Iqadi T'Challa","New York, New York","Giant-Size X-Men #1 (May, 1975)","Marvel Comics","good","Female","Mutant","5'11","180 cm","127 lb","57 kg","Blue","White","Adventurer","Xavier Institute, Salem Center, Westchester County, New York State","X-Men (Jean Grey School member, leader); formerly X-Force (Strike Team); Murder Circus (brainwashed), Extinction Team, Avengers[3], Fantastic Four, X.S.E., X-Treme X-Men, Tokyo Arena, The Twelve, Seven Brides of Set, Hellfire Club (Inner Circle), Morlocks","Ayesha of Balobedu (ancestor), Ashake of Egypt (ancestor), Ashake of Mero� (ancestor), unnamed ancestor, Harriet Munroe (paternal grandmother), unnamed paternal grandfather, unnamed maternal grandmother, David Munroe (father, deceased), N'Dar� Munroe (mother, deceased), Ainet (unofficial foster mother), Achmed El Gib�r (unofficial foster father), Colonel Shetani (maternal uncle), unnamed paternal aunt (deceased), David Munroe, Jr. (cousin), Munroe Family (relatives), Black Panther (T'Challa) (ex-husband, marriage annulled)","Queen Ororo","Ororo Komo Wakandas,White Queen",Weather Witch,Windrider,Goddess,"Mistress of the Elements","Princess of N'Dare","High Priestess Windrider","Goddess","Mistress of the Elements","Princess of N'Dare","High Priestess",,,,,,,
639,"Stormtrooper","10","8","8","15","5","20",,"No alter egos found.","-","-","Star Wars: Episode IV - A New Hope (1977)","George Lucas","bad","Male","Human","6'0","183 cm","- lb","0 kg","-","-","-","-","-","-",,,,,,,,,,,,,,,,,,,
640,"Sunspot","63","63","35","25","90","70","Roberto DaCosta","No alter egos found.","Robert DaCosta","Rio de Janeiro, Brazil","Marvel Graphic Novel #4 (October, 1982)","Marvel Comics","good","Male","Mutant","5'8","173 cm","170 lb","77 kg","brown","black","Adventurer, businessman","1128 Mission Street, San Francisco, California","Avengers; formerly X-Men, New Mutants, Young X-Men, X-Corporation (Los Angeles branch), MLF, X-Force, Fallen Angels, Hellfire Club, Bratpack","Emmanuel da Costa (father, deceased), Nina da Costa (mother), Reignfire (genetic copy, deceased)","Bobby; Black Rook",Black King,Reignfire,,,,,,,,,,,,,,,,
641,"Superboy","75","95","83","90","95","60","Kon-El / Conner Kent","No alter egos found.","Experiment 13; Superman; Project: Superman; Carl Krummett; Project: Lionel Luthor; The Metropolis Kid","Project Cadmus cloning facility","Adventures of Superman #500 (June, 1993)","DC Comics","good","Male","null","5'7","170 cm","150 lb","68 kg","Blue","Black","-","San Francisco; Smallville; Formerly Metropolis; Formerly Honolulu","Teen Titans, Legion of Super-Heroes, Team Superman; Formerly Young Justice, Project Cadmus, Ravers","Superman (Kryptonian genetic template), Lex Luthor (Human genetic template), Match (clone)","Superman",,,,,,,,,,,,,,,,,,
642,"Superboy-Prime","94","100","100","100","100","85","Kal-El","No alter egos found.","Superman-Prime; Prime; Superboy; Clark Kent; Clarkie; Time Trapper","Krypton (Earth-Prime)","DC Comics Presents #87 (November, 1985)","DC Comics","bad","Male","Kryptonian","5'11","180 cm","170 lb","77 kg","Blue","Black / Blue","-","currently a recreation of Earth-Prime, formerly Qward, Anti-Matter Universe.","Formerly Black Lantern Corps, Legion of Super-Villains, Sinestro Corps","Jor-El (father; deceased); Lara (mother, deceased); Jerry Kent (adoptive father); Naomi Kent (adoptive mother)",,,,,,,,,,,,,,,,,,,
